Id,Latitude,Longitude,On street,Zipcode,Installation Date
21557,40.7400202,-74.0074301,LITTLE W 12 ST,10014,09/07/2021
21556,40.7406542,-74.0069539,W 13 ST,10014,09/07/2021
21555,40.7398060,-74.0079209,WASHINGTON ST,10014,09/07/2021
21545,40.7463416,-74.0012307,W 23 ST,10011,09/07/2021
21536,40.7476151,-74.0003356,9 AVE,10011,09/07/2021
21534,40.7478978,-74.0027717,W 24 ST,10011,09/07/2021
21533,40.7490918,-74.0033023,10 AVE,10001,02/20/2024
21532,40.7475355,-73.9980800,W 26 ST,10001,12/07/2020
21526,40.7376019,-74.0092594,W 12th St,10014,05/05/2023
21524,40.7387137,-74.0059288,HORATIO ST,10014,12/16/2020
21519,40.7358151,-74.0082632,Washington St,10014,08/08/2022
21515,40.8214138,-73.9520659,W 138 ST,10031,01/25/2021
21511,40.8391682,-73.9435674,FT WASHINGTON,10032,11/15/2020
21509,40.8255732,-73.9425456,EDGECOMB AVE,10031,11/18/2020
21503,40.8523748,-73.9276508,Amsterdam Avenue,10033,11/18/2020
21498,40.8632962,-73.9232253,POST AVE,10034,12/14/2020
21497,40.8540585,-73.9336069,BROADWAY,10033,12/29/2020
21496,40.8521185,-73.9346028,BROADWAY,10033,11/15/2020
21495,40.8498700,-73.9334918,ST Nicholas Ave,10033,12/07/2020
21491,40.8365743,-73.9432769,BROADWAY,10032,01/14/2021
21481,40.7993172,-73.9626536,Columbus Ave,10025,11/12/2020
21480,40.7976400,-73.9621164,MANHATTAN AVE,10025,12/10/2020
21478,40.8126298,-73.9566710,AMSTERDAM AVE,10027,12/03/2020
21477,40.8030868,-73.9661733,W 109 ST,10025,01/14/2021
21475,40.8118245,-73.9613606,BROADWAY,10027,11/12/2020
21460,40.7405937,-74.0087798,Little West 12th St,10014,11/15/2023
21454,40.7397266,-74.0052325,Hudson st,10014,12/16/2022
21448,40.7328124,-74.0081546,Christopher St,10014,03/29/2023
21445,40.7081070,-74.0056340,Cliff St,10038,11/18/2020
21370,40.8188812,-73.9541199,W 134th St,10031,08/31/2021
21361,40.7546003,-73.9738895,Lexington Ave,10017,01/06/2021
